instance,task,episode,return,discounted_return
0,1,1,0.0,0.0
0,1,2,0.0,0.0
0,1,3,0.0,0.0
0,1,4,0.0,0.0
0,1,5,0.0,0.0
0,1,6,0.0,0.0
0,1,7,0.0,0.0
0,1,8,0.0,0.0
0,1,9,0.0,0.0
0,1,10,0.0,0.0
0,1,11,0.0,0.0
0,1,12,0.0,0.0
0,1,13,1.0,0.00022216276266729315
0,1,14,0.0,0.0
0,1,15,1.0,0.00014738731582510518
0,1,16,0.0,0.0
0,1,17,0.0,0.0
0,1,18,1.0,7.566011175463383e-05
0,1,19,1.0,0.001408061023535215
0,1,20,0.0,0.0
0,1,21,3.0,0.03438810266866795
0,1,22,3.0,0.15827783742140566
0,1,23,2.0,0.2774824638906334
0,1,24,5.0,0.32274609594423914
0,1,25,3.0,0.1670102760539412
0,1,26,4.0,0.0699856972299156
0,1,27,6.0,0.20648735747461808
0,1,28,8.0,0.42302429580791207
0,1,29,8.0,0.4868554603766195
0,1,30,8.0,0.3664390256340321
0,1,31,8.0,0.4141612249246718
0,1,32,8.0,0.42254107274334773
0,1,33,8.0,0.3650130537120392
0,1,34,8.0,0.5290521202998179
0,1,35,9.0,0.51793044136805
0,1,36,8.0,0.5213772003319694
0,1,37,9.0,0.5056996310282834
0,1,38,8.0,0.3946143143967439
0,1,39,8.0,0.3843646543640993
0,1,40,9.0,0.5448328773558502
0,1,41,9.0,0.4062868208042668
0,1,42,9.0,0.47654814225972153
0,1,43,8.0,0.45341079408210555
0,1,44,8.0,0.48744373191668067
0,1,45,7.0,0.3030833597169024
0,1,46,9.0,0.5034426212946287
0,1,47,8.0,0.38846269965905117
0,1,48,8.0,0.5225953378061784
0,1,49,8.0,0.38695205248518977
0,1,50,8.0,0.4590856298419416
0,1,51,8.0,0.4473868900033253
0,1,52,9.0,0.5028077015972773
0,1,53,9.0,0.5521152672073726
0,1,54,8.0,0.4673697474705327
0,1,55,8.0,0.4203818471043351
0,1,56,8.0,0.3960222493916754
0,1,57,8.0,0.4821954256771079
0,1,58,8.0,0.42725337331989766
0,1,59,8.0,0.515085769647717
0,1,60,8.0,0.42223912763049903
0,1,61,8.0,0.36184630363127823
0,1,62,9.0,0.4757698586923395
0,1,63,9.0,0.5307594556904137
0,1,64,9.0,0.45553819203115054
0,1,65,9.0,0.5218543096706172
0,1,66,8.0,0.4334966207316711
0,1,67,8.0,0.5174647348989893
0,1,68,7.0,0.4770991533106111
0,1,69,5.0,0.2537334411304288
0,1,70,3.0,0.06833357191943273
0,1,71,4.0,0.12131292060562376
0,1,72,8.0,0.19498217497114273
0,1,73,8.0,0.43984980434927606
0,1,74,8.0,0.5409612865797608
0,1,75,7.0,0.3020107333526611
0,1,76,6.0,0.3593526111710222
0,1,77,7.0,0.37302858722953797
0,1,78,4.0,0.2873917286998821
0,1,79,5.0,0.17335905010791164
0,1,80,5.0,0.28634966996280203
0,1,81,4.0,0.12469702699402942
0,1,82,3.0,0.03725830513396146
0,1,83,2.0,0.022922643233302092
0,1,84,3.0,0.16772279919132355
0,1,85,2.0,0.06957585723976577
0,1,86,1.0,0.00024616372594713924
0,1,87,0.0,0.0
0,1,88,2.0,0.012979783768106521
0,1,89,2.0,0.004245931077916451
0,1,90,3.0,0.011489159701176014
0,1,91,2.0,0.11762451437308935
0,1,92,4.0,0.15926345181911372
0,1,93,4.0,0.07800991598117388
0,1,94,3.0,0.02012555472514454
0,1,95,7.0,0.21311235964446174
0,1,96,4.0,0.06541078155943952
0,1,97,8.0,0.30021652065552895
0,1,98,7.0,0.38460753965261085
0,1,99,9.0,0.5270802751264465
0,1,100,8.0,0.452481516673999
0,1,101,8.0,0.4480084779357218
0,1,102,8.0,0.4042060491419178
0,1,103,9.0,0.54207584614362
0,1,104,8.0,0.49838118619967
0,1,105,7.0,0.324976469132543
0,1,106,7.0,0.486626648694375
0,1,107,8.0,0.3576215987047547
0,1,108,9.0,0.37100781943197875
0,1,109,8.0,0.4115147017052864
0,1,110,8.0,0.3544000649546606
0,1,111,8.0,0.5093489123324493
0,1,112,9.0,0.5426001592472632
0,1,113,9.0,0.5317775097965659
0,1,114,8.0,0.4340734995521995
0,1,115,8.0,0.44502903592753573
0,1,116,7.0,0.42868922455117736
0,1,117,8.0,0.4053130348823644
0,1,118,9.0,0.548813387241918
0,1,119,8.0,0.5040971590953602
0,1,120,8.0,0.4231158539003876
0,1,121,8.0,0.4696093756714275
0,1,122,9.0,0.46372522631356
0,1,123,8.0,0.5135603039242229
0,1,124,8.0,0.4526544801799973
0,1,125,8.0,0.3561709829912642
0,1,126,8.0,0.3772934029479772
0,1,127,9.0,0.36974898411899637
0,1,128,8.0,0.42792729354799774
0,1,129,9.0,0.451538021505951
0,1,130,8.0,0.42465286545420783
0,1,131,9.0,0.4289420364000897
0,1,132,9.0,0.45255277573531444
0,1,133,8.0,0.5049184385557548
0,1,134,8.0,0.4286092684055006
0,1,135,9.0,0.4932312408326555
0,1,136,8.0,0.4592115291180895
0,1,137,8.0,0.44665780353390655
0,1,138,6.0,0.35466465004699577
0,1,139,5.0,0.16156088995297305
0,1,140,6.0,0.16593777984922228
0,1,141,6.0,0.2707255132012455
0,1,142,3.0,0.05752093408535913
0,1,143,3.0,0.06859582130852877
0,1,144,2.0,0.051166916573513535
0,1,145,3.0,0.0954485645354766
0,1,146,2.0,0.09508810955220219
0,1,147,2.0,0.048974056801511165
0,1,148,3.0,0.03947712205356425
0,1,149,2.0,0.056752104148894804
0,1,150,2.0,0.011131621936741977
0,1,151,4.0,0.0561273792578795
0,1,152,6.0,0.2019122157651027
0,1,153,8.0,0.3883050758229119
0,1,154,8.0,0.4843298544190572
0,1,155,8.0,0.5019255342019522
0,1,156,8.0,0.323177007758258
0,1,157,9.0,0.49049678907350724
0,1,158,8.0,0.49613934844407315
0,1,159,8.0,0.4704637687229214
0,1,160,9.0,0.5528199124152046
0,1,161,8.0,0.4428669704186778
0,1,162,8.0,0.5267708644265394
0,1,163,8.0,0.36667446578536533
0,1,164,8.0,0.5414876739490534
0,1,165,8.0,0.4352661721438754
0,1,166,8.0,0.4130501364015099
0,1,167,9.0,0.4763640359692351
0,1,168,8.0,0.5350016619920023
0,1,169,8.0,0.47695467813639597
0,1,170,9.0,0.5381021968463912
0,1,171,9.0,0.39542473845941317
0,1,172,8.0,0.4768420008930292
0,1,173,8.0,0.5162231226664193
0,1,174,8.0,0.49048916761859046
0,1,175,8.0,0.4336254875049077
0,1,176,8.0,0.3861737579209348
0,1,177,9.0,0.42644863664519067
0,1,178,9.0,0.5244129290055213
0,1,179,9.0,0.49467088870340314
0,1,180,8.0,0.16303738748469776
0,1,181,9.0,0.5022582499628676
0,1,182,8.0,0.3699500706841275
0,1,183,9.0,0.44645125062300106
0,1,184,9.0,0.47998947513224377
0,1,185,9.0,0.5324339883582864
0,1,186,8.0,0.40067149544859637
0,1,187,9.0,0.5390331326541281
0,1,188,8.0,0.4907687525551427
0,1,189,8.0,0.2699491348505929
0,1,190,7.0,0.07981964089529617
0,1,191,8.0,0.4923447746837892
0,1,192,8.0,0.3196251058195242
0,1,193,8.0,0.5271626364381566
